username,content,timestamp
marilyonne,oui ##iiiiiiii ##iiiii,2025-06-17T11:44:53.061275
colbain98,1,2025-06-17T11:44:55.761498
leebpascal,lil ##le len ##s marseill ##e ni ##ce borde ##aux tou ##lou ##se bas ##tia aj ##accio bonheur,2025-06-17T11:44:57.001659
flo__ki,fait pourquoi a plus num ##ero chaine tv log ##o france tv a place duc ##oup sait plus ces ##t chel ##ou,2025-06-17T11:44:59.168458
bertocheeee,faisait mar ##rer comment ##ary chaine le ##qui ##pe me ##c z ##in ##zin ja ##ime bien,2025-06-17T11:45:01.757233
aoreliofr,oh ##la ##la ##la ja ##i peur,2025-06-17T11:45:06.672909
raphou_35,faut qua ##ster ##ion tombe lem ##ission pun ##aise,2025-06-17T11:45:08.201382
john33fr,ca vient surtout course land ##aise existe toujours are ##nes sud ouest tous ete ##s,2025-06-17T11:45:09.400885
nightbot,retrouve ##z tous repl ##ay you ##tu ##be you ##tu ##bec ##om,2025-06-17T11:45:12.272123
jeanperse,brun ##o guillo ##n pourquoi,2025-06-17T11:45:12.572909
monsieurdemesmaeker,ces ##t populaire bon enfant,2025-06-17T11:45:12.974813
gzd6666,bien ##to ##t retour tourne ##z man ##eg ##e,2025-06-17T11:45:13.189914
stuffdemax,md ##rr ##rr ##r,2025-06-17T11:45:13.390776
neistart,grave pand ##em ##ie toujours cours jes ##per ##e vaccin ##ez bien tous 6 mois,2025-06-17T11:45:15.815094
operasansfantome,meilleur jo ##b lu ##l,2025-06-17T11:45:15.906135
democlas,x ##d,2025-06-17T11:45:16.254781
saberan31,ah ##ah,2025-06-17T11:45:17.045655
p0mme_,,2025-06-17T11:45:17.814168
pain_aux_olives,ou ##la,2025-06-17T11:45:18.103060
tibagtv,ces ##t vache ##tte fait k ##app ##a,2025-06-17T11:45:18.716136
usukapion,md ##rr ##rr ##r,2025-06-17T11:45:19.021091
clamakinisback,nouvelle possib ##ilit ##e len ##s gagner der ##by,2025-06-17T11:45:19.419911
alan_albr,lu ##l,2025-06-17T11:45:22.803924
erredius,oh rio ##u,2025-06-17T11:45:23.177142
stuffdemax,pit ##ie sam dev ##iens vache ##tte md ##r,2025-06-17T11:45:25.361096
kine22,top ##a vache ##tte,2025-06-17T11:45:26.169621
cyrille8574,non eno ##rm ##ement dep ##re ##uves vache ##tte effet bon cet ##ait lame quand meme,2025-06-17T11:45:27.293618
sevino38,top ##a vache ##tte,2025-06-17T11:45:28.891301
david_ayoun,ca direct enregistre,2025-06-17T11:45:29.381235
theoriginalpimousse_,top ##a vache ##tte mal,2025-06-17T11:45:30.228407
usukapion,a lil ##le,2025-06-17T11:45:33.619737
pain_aux_olives,costume wi ##s ##h tier,2025-06-17T11:45:34.568838
d0wnblue,interv ##ille sans vrai vache ##tte ces ##t triste peu,2025-06-17T11:45:38.145633
imayoyo,top a mas ##cot ##te,2025-06-17T11:45:38.893265
le_chouffleur,oh grosses mam ##elles cache ##z tet ##ons saurais voir k ##app ##a,2025-06-17T11:45:39.249874
thicapy,encore tra ##uma ##tis ##e dernier ##e ep ##re ##uve particip ##ants doivent escal ##ade barre trop dur,2025-06-17T11:45:41.337625
drakeoz_,sud a beaucoup taureau pis ##cine aussi lieu partout a fet ##es tau ##rines,2025-06-17T11:45:42.046347
tinkou__,attend tra ##ppes neu ##illy,2025-06-17T11:45:45.151565
cyrille8574,boy ##cot ##te interv ##illes sans vache ##ttes,2025-06-17T11:45:45.923150
jeanperse,ete oui,2025-06-17T11:45:47.669141
clamakinisback,oui trouve ca to ##o mu ##ch ces ##t avis donc vraiment important,2025-06-17T11:45:50.336214
marilyonne,parle dis ##ney ces ##t quoi diff ##ere ##nce costumes pleine chaleur,2025-06-17T11:45:51.148727
theoriginalpimousse_,not ##li ##ket ##his,2025-06-17T11:45:51.557167
fmbj_,veut mas ##cot ##te chaque ville comme a nb ##a chaque eq ##ui ##pe k ##app ##a,2025-06-17T11:45:55.558661
isayux,trop ha ##te tour france,2025-06-17T11:45:56.170469
saberan31,envie regarder si ya na ##gui vu comporte ##ments prob ##lem ##atiques passes,2025-06-17T11:45:56.435138
theoriginalpimousse_,stra ##w ##b ##50 ##6 ##bon ##go stra ##w ##b ##50 ##6 ##bon ##go stra ##w ##b ##50 ##6 ##bon ##go,2025-06-17T11:45:56.896165
allihh66,sam peut ec ##outer gen ##eri ##que st ##p,2025-06-17T11:45:59.900673
sdfljsgrljfslk,peut demander a ret ##aille ##au triche ##r a nouveau respecter tradi ##ction,2025-06-17T11:46:05.972369
bertocheeee,peux comprendre,2025-06-17T11:46:08.213826
kine22,ces ##t dommage si ces ##t toujours meme ville sud france,2025-06-17T11:46:11.183227
vikks26,ces ##t cette em ##ission ministre lin ##terie ##ur triche,2025-06-17T11:46:15.421803
monsieurdemesmaeker,genre,2025-06-17T11:46:17.324298
david_ayoun,ja ##dor ##e interv ##illes sans vache ##tte ca min ##ter ##esse moins,2025-06-17T11:46:19.067063
tinkou__,taureau pis ##cine ces ##t version bo ##vin ##e la ##qua ##pon ##ey,2025-06-17T11:46:22.290214
peperedudu,ja ##i cru voir fait choix casser cd ##i a france ##t ##v est ##ce ca peut poser soucis renouvellement lan ##ima ##tion q ##pu ##c,2025-06-17T11:46:22.564994
tibagtv,lu ##l sav,2025-06-17T11:46:30.335364
zem78,cou ##cou sam voulais juste dire boul ##ot tec ##oute ec ##oute ##urs ces ##t top ca renseigne lac ##tu ##ali ##te merci,2025-06-17T11:46:30.481532
john33fr,ca a lieu meme temps courses land ##aises oui tor ##o pis ##cine autres interv ##aches carre ##ment oui prendre proc ##es,2025-06-17T11:46:32.444397
moulbitt,ces ##t plus compli ##que bas ##cule k ##app ##a,2025-06-17T11:46:34.598108
pl00m,nes ##t patron,2025-06-17T11:46:34.911269
jeanperse,heureusement quil a brun ##o guillo ##n va ree ##qui ##lib ##rer lem ##ission,2025-06-17T11:46:36.569952
cyrille8574,tout a fait da ##cc ##ord trouve ca de ##bil ##e plus mettre num ##ero chaine,2025-06-17T11:46:39.071395
le_chouffleur,ben ces ##t mas ##cot ##te ces ##t bon ja ##tte ##nds voir faire ide ##e,2025-06-17T11:46:41.849479
fricasseedefevesaubellota,maintenant demande a changer constitution histoire det ##re dessus lois,2025-06-17T11:46:42.669122
drakeoz_,ah ##ah ##ah,2025-06-17T11:46:43.640240
theoriginalpimousse_,ca va etre compli ##que bas ##cule pd ##t tour france not ##li ##ket ##his lu ##l,2025-06-17T11:46:45.999039
myxprtz,alors quo ##n sait cerveau tout sous marin,2025-06-17T11:46:49.776770
sugarfr0g,allons se ##em ##s ##go ##od,2025-06-17T11:46:52.911833
usukapion,patron officieux comme mus ##k k ##app ##a,2025-06-17T11:46:53.792134
khorne59,voulu tout reg ##rou ##per sous meme nom mettre valeur plate ##for ##me vo ##d unique france ##t ##v comme tf ##1,2025-06-17T11:46:55.561810
runcyterr,allons ##y casquette a foire chapeau,2025-06-17T11:46:58.167997
scotty_cool,rachet ##e france tv donner rep ##onse,2025-06-17T11:47:00.259726
allihh66,lez ##go ##oo ##o,2025-06-17T11:47:01.205909
kelyaann,a partir moment mange malheureusement nes ##t corrid ##a non plus,2025-06-17T11:47:02.588143
sdfljsgrljfslk,ces ##t plus facile,2025-06-17T11:47:02.810961
lupa_612,ze parti,2025-06-17T11:47:03.420554
saberan31,genre etre lourd candidat ##es femmes a quelques annee ##s tout monde veut prendre place humili ##er eq ##ui ##pes direct nou ##blie ##z paroles,2025-06-17T11:47:04.713194
le_chouffleur,des ##ole v,2025-06-17T11:47:07.544371
imreplaayz,retrouve it ##ner ##vie ##w ni ##col ##a st ##p,2025-06-17T11:47:12.065749
scotty_cool,ces ##t vrai,2025-06-17T11:47:18.605345
prof_intern,ministre culture voudrait sc ##al ##p patronne france tv da ##pres canard ench ##aine avis,2025-06-17T11:47:18.967642
sugarfr0g,sauf petit ##ion bien k ##app ##a,2025-06-17T11:47:20.831107
t0welie_42o,trop co ##ol pensais avoir loup ##e sommaire sam ##uel ##ec ##oe ##ur,2025-06-17T11:47:21.417741
kuraiine_,sam ##uel grand mani ##to ##u tel ##ev ##ision franc ##aise,2025-06-17T11:47:24.680020
biuemoon___,partie invisible lice ##berg sam ##uel sam ##uel ##ed ##ark,2025-06-17T11:47:27.699197
sugarfr0g,lu ##l,2025-06-17T11:47:29.710417
tinkou__,a truc rn veut priv ##atis ##er,2025-06-17T11:47:29.751294
diixon9,parce ces ##t pro ##oo ##oo ##jet,2025-06-17T11:47:29.786685
otr_stream,lu ##l,2025-06-17T11:47:31.808406
kelyaann,dec ##ide ##ment lai ##mes,2025-06-17T11:47:33.293021
lonisk,sam ##uel ##e ##jour ##nau ##x,2025-06-17T11:47:33.338230
bapthard,lu ##l,2025-06-17T11:47:33.381866
yume_irl,eu ##h ##per ##rier ##wt ##f,2025-06-17T11:47:34.369472
bambi_des_iles,ah ##ah,2025-06-17T11:47:34.481449
alerwann,ces ##t son ##da ##ge veux lancer,2025-06-17T11:47:34.740839
viegod_,k ##ek ##w,2025-06-17T11:47:34.962607
sh_le_bel_homme,pt ##dr ##rr ##rr ##rr ##rr ##rr ##rr,2025-06-17T11:47:34.999456
huttopie,non simplement nes ##t plus consid ##ere comme sal ##arie comme fournisseur,2025-06-17T11:47:35.039636
imreplaayz,retrouve it ##ner ##vie ##w ni ##col ##a st ##pp,2025-06-17T11:47:35.214730
hortax_fr,202 ##7 quand el ##u pourra ##s priv ##atis ##er rachet ##er,2025-06-17T11:47:35.579503
rommytek6,dit sam ##um ##u,2025-06-17T11:47:35.610570
earendil2016,sam ##uel ##elo ##l sam ##uel ##elo ##l sam ##uel ##elo ##l sam ##uel ##elo ##l,2025-06-17T11:47:35.885721
stuffdemax,fais val ##o,2025-06-17T11:47:35.992351
cmex0_,dea ##l,2025-06-17T11:47:36.033156
mopidie_twitch,sam ##um ##u joue quand st ##p,2025-06-17T11:47:36.253384
dr4xla,lu ##l,2025-06-17T11:47:36.288277
gillous985,rn veut priv ##atis ##er raid ##o france aussi,2025-06-17T11:47:36.427959
operasansfantome,lu ##l,2025-06-17T11:47:36.551972
bertocheeee,lu ##l,2025-06-17T11:47:37.965799
moulbitt,extr ##em ##e gauche droite centr ##iste important,2025-06-17T11:47:38.560327
leroidlasauce,salut sam ##uel 23 demande si rencontrera ##i vrai amour jour si ca arrivera penses inquiet ##e trop,2025-06-17T11:47:39.164698
kaintopa,ah ces ##t ca petit ##ion,2025-06-17T11:47:39.516536
david_ayoun,possible remettre log ##os chaine france 2 france 3,2025-06-17T11:47:39.580094
enmuleurdecouche,rn rach ##ida dat ##i nav ##ait dit quelle voulait faire france tv hol ##din ##g,2025-06-17T11:47:39.630243
tromatamere,parfait,2025-06-17T11:47:41.518575
jeanperse,rig ##oles sam ##uel lim ##age france 3 objec ##tivement,2025-06-17T11:47:41.919215
le_chouffleur,priv ##atis ##er france tel ##ev ##ision quoi,2025-06-17T11:47:42.820874
zapoteque,plus gros don ##ateurs per ##icle ##s biens ##ur,2025-06-17T11:47:44.482487
kraydee,ba ##h non feront comme russ ##ie vont tint ##erd ##ire,2025-06-17T11:47:45.660711
sinrok972,extr ##em ##e gauche me ##ga extr ##em ##e gauche,2025-06-17T11:47:46.348699
n_e_o_______,beau programme,2025-06-17T11:47:46.451799
monsieurdemesmaeker,courant ces ##t quand meme flagrant,2025-06-17T11:47:46.831087
operasansfantome,tre deux tours del ##ection pres ##ident ##ielle,2025-06-17T11:47:48.023620
br_omake,sam ##uel membre bla ##ck bloc ##ks,2025-06-17T11:47:49.515036
krakz00,quil ##s vendent,2025-06-17T11:47:49.885902
stuffdemax,val ##o 24 ##h 24 ##h ft,2025-06-17T11:47:50.153315
john33fr,ca marcher ##a jamais ide ##es gauche ces ##t trop conse ##ns ##uel ca fait dau ##dien ##ce dommage,2025-06-17T11:47:53.432627
raphou_35,ah ba ##h ca,2025-06-17T11:47:55.563529
sdfljsgrljfslk,oui,2025-06-17T11:47:55.687474
quent79_13,lu ##l lu ##l,2025-06-17T11:47:56.786150
kine22,ca va partir tw ##itte ##r not ##li ##ket ##his,2025-06-17T11:47:57.832894
pierro_fps,bon ##jour,2025-06-17T11:48:01.853597
fmbj_,se ##em ##s ##go ##od da ##cc ##ord,2025-06-17T11:48:04.542823
rommytek6,ces ##t truc fou not ##li ##ket ##his,2025-06-17T11:48:09.184398
monsieurdemesmaeker,vive radio france,2025-06-17T11:48:10.603842
malakaud,veulent priv ##atis ##er car dej ##a leurs medi ##as propagande,2025-06-17T11:48:11.769468
otr_stream,len ##fer si ca arrive,2025-06-17T11:48:11.875483
balduur_,bon ##jour,2025-06-17T11:48:12.206541
sinrok972,assez cn ##e ##ws k ##app ##a,2025-06-17T11:48:13.269201
genki_lol,ces ##t leg ##al ca meme neutral ##ite,2025-06-17T11:48:13.633125
coinslotjam,a vu lh ##istoire domin ##os pi ##zz ##za pent ##agon,2025-06-17T11:48:14.738708
nightbot,semaine tw ##itch bes ##to ##f nd ##eg ##47 arrive ici,2025-06-17T11:48:17.076682
saberan31,normal vu dec ##ris non,2025-06-17T11:48:17.403608
bertocheeee,250 ca suffit a rachet ##er france tv ces ##t juste salaire annuel na ##gui ca,2025-06-17T11:48:17.606633
moulbitt,coup paie ##ra plus redev ##ance k ##app ##a,2025-06-17T11:48:18.358254
tutor_hcz,x ##tre ##ee ##mm ##m,2025-06-17T11:48:18.717291
forzekeykey,ces ##t grave si ces ##t priv ##e gauche extr ##em ##e gauche moins ces ##t finance impo ##ts ces ##t ca vrai prob ##lem ##e impo ##ts finance ##nt chaine radio a gros parti pris,2025-06-17T11:48:22.012305
rydars,you ##pi,2025-06-17T11:48:23.403929
xonoss,part ver ##ite quand meme sam ##uel md ##r,2025-06-17T11:48:23.904704
myxprtz,chaine tw ##itch sam access ##ible 2 3 4 sam ##uel ##e ##jour ##nau ##x,2025-06-17T11:48:25.299019
8528lucky13,chaine parlera ##i pres ##ident sam ##uel eti ##enne bien,2025-06-17T11:48:25.507888
cyrille8574,fait ja ##ime bien na ##gui inte ##gr ##isme ve ##get ##arie ##nd ##ef ##enseur animaux sa ##oule contre fait faire mal animaux comme corrid ##as,2025-06-17T11:48:28.464286
runcyterr,fin monde fin monde,2025-06-17T11:48:29.237595
le_chouffleur,hel ##lo raid,2025-06-17T11:48:30.054972
biuemoon___,t ##qt ca viendra ca arrivera quand ty attend ##ras moins cours trop apr ##es vas perdre espoir concent ##re projet etc ca tomber ##a dessus verra ##s sam ##uel ##elo ##ve,2025-06-17T11:48:33.623379
lestudiogeek,cou ##cou ici,2025-06-17T11:48:33.728275
theoriginalpimousse_,quoi,2025-06-17T11:48:33.919711
rommytek6,jamais assez not ##li ##ket ##his,2025-06-17T11:48:33.999706
lart_des_choix,meilleure transition ##s,2025-06-17T11:48:35.804348
earendil2016,cou ##cou raid ##ers,2025-06-17T11:48:39.612605
docdaneeka22,bonne ide ##e priv ##atis ##er service public ca na jamais ete des ##ast ##re lh ##istoire lh ##uma ##nit ##e md ##r,2025-06-17T11:48:50.443328
bristolte,lap ##pel ##era lfi france informe ##e,2025-06-17T11:48:52.074320
moulbitt,a compris k ##app ##a not ##li ##ket ##his not ##li ##ket ##his adieu amis,2025-06-17T11:49:04.107362
cyrille8574,raid ##ers deux doigts coupe ##nt faim k ##app ##a,2025-06-17T11:49:06.377356
tutor_hcz,mal,2025-06-17T11:49:10.382648
bapthard,oui chaine ##s publiques parmi dernier ##es a etre plut ##ot centre ##ga ##uche alors toutes chaine ##s priv ##ee ##s vont centre a le ##xt ##re ##med ##roite sp ##oile ##r ces ##t continuer des ##in ##for ##mation,2025-06-17T11:49:11.352661
sinrok972,ou ##ai couvert sta ##rl ##in ##k lira ##n donc tout va bien,2025-06-17T11:49:13.673199
