username,content,timestamp
utsuru,vendre avoir ball plague inc mobile,2025-06-19T09:33:29.317109
salmuth,tuto plutot bien foutu aussi,2025-06-19T09:33:40.201632
thiorah,heyo rarer peeposithey,2025-06-19T09:33:43.381817
nanoq__,jour 2 ca part dejer manif,2025-06-19T09:33:44.874192
utsuru,covid ca avoir bien aide,2025-06-19T09:33:45.394817
anartichaud_,non parce quapres technicien mettre deux semaine venir brancher cabl debranche autre,2025-06-19T09:33:48.132304
lz_baleinedesglaces,trop pipou emote dire donc,2025-06-19T09:33:57.339001
unechoco,peeposithey,2025-06-19T09:34:01.765979
tatoolo,bien plague inc mobile oui,2025-06-19T09:34:02.981040
anartichaud_,plague inc vraiment jaim tellement,2025-06-19T09:34:05.106735
yumyumimi,coucou jadeslay oui trop matinal donc profiter venir renranpeekinggg,2025-06-19T09:34:10.240918
markadia,tout redebrancher deuxieme cabl romettre premier plonkton,2025-06-19T09:34:21.105217
loeildesauron,detent justachillguy,2025-06-19T09:34:25.090360
salmuth,croire quil ete traumer partir delir covidzombie post apo game,2025-06-19T09:34:26.812199
utsuru,non voiler zoomer mobile,2025-06-19T09:34:32.256768
anartichaud_,oui bahahahahahah,2025-06-19T09:34:35.110717
kaorru,romet,2025-06-19T09:34:46.424870
utsuru,coup celui aussi mobile,2025-06-19T09:34:58.653177
alx_vadder,rometlo,2025-06-19T09:34:58.950173
lz_baleinedesglaces,ahhh stream aussi twitch television o,2025-06-19T09:35:00.011176
thiorah,dubois trouver nouveau attrapeur,2025-06-19T09:35:03.987709
anartichaud_,utsuru peux ouvrir cadeau tai envoye pokemongo stp jattend,2025-06-19T09:35:04.250307
markadia,fouillemoi bois,2025-06-19T09:35:09.117270
sethsous,glorphi,2025-06-19T09:35:11.623781
xomberus,oui,2025-06-19T09:35:12.407603
loeildesauron,voir surprendre,2025-06-19T09:35:19.826821
artyom_premier,homme sans bois ni loi soonerlater,2025-06-19T09:35:26.091732
tatoolo,touche avoir colon,2025-06-19T09:35:27.516159
thiorah,oeee cc seth peeposithey,2025-06-19T09:35:32.935260
furakutarufs,moral colon,2025-06-19T09:35:33.921509
rastellefr,henlothere,2025-06-19T09:35:34.737072
salmuth,cest x4,2025-06-19T09:35:39.255687
markadia,courir dev civ,2025-06-19T09:35:45.780908
radkein,bonjour,2025-06-19T09:35:48.575895
loeildesauron,cc rastellefr markad4hi,2025-06-19T09:35:49.465936
anartichaud_,jaime trop plop sound design quand selectionne truc,2025-06-19T09:35:54.262366
kaione708,cest ca jeu infinite click,2025-06-19T09:35:54.442927
rastellefr,vien voir to message oui cest fort possible,2025-06-19T09:35:56.451605
tatoolo,non devoir dire,2025-06-19T09:36:02.482254
dajikoo,arrete plaindre bientot vouloir conge,2025-06-19T09:36:05.615938
utsuru,trop smart comme voiture,2025-06-19T09:36:06.014994
loeildesauron,abonner depuis 3 ansmarkadia courir devs civ,2025-06-19T09:36:06.142956
zemi_o7,cest comme civilization sauf hexagone regulier,2025-06-19T09:36:10.388962
rastellefr,ahhh juriste,2025-06-19T09:36:19.775504
lamykoze,oh ca ressemble avoir civ jadore,2025-06-19T09:36:20.100375
utsuru,plop team,2025-06-19T09:36:20.552245
rastellefr,mynnullos,2025-06-19T09:36:23.440699
markadia,plop guilde xd,2025-06-19T09:36:23.984511
salmuth,croire jeu plop plus jouissif cest civ 7,2025-06-19T09:36:35.217192
nerub8,1620 ty presque,2025-06-19T09:36:38.372480
anartichaud_,plop plop,2025-06-19T09:36:46.740147
anartichaud_,oui bah voiler,2025-06-19T09:36:53.667667
sethsous,oooh travailler,2025-06-19T09:37:03.447443
anartichaud_,non cest trop bine,2025-06-19T09:37:04.165239
loeildesauron,rendez-vous zaap madrestam,2025-06-19T09:37:10.180620
piervers,alors quon savoir tout covid na exister,2025-06-19T09:37:39.826833
moobot,joeler,2025-06-19T09:37:40.055622
tatoolo,plop zombie,2025-06-19T09:37:41.867512
anartichaud_,vend kamas zaap dastrub,2025-06-19T09:37:44.195563
sylfe_2979,yoloooo,2025-06-19T09:37:55.922421
kaione708,hippie,2025-06-19T09:37:56.036425
etivnne,zone debloquee form zizi mynnullo,2025-06-19T09:37:57.259204
nomagaunrom,merci davoir def perco matin,2025-06-19T09:37:58.404221
markadia,cherche fm 100 pur 1pa 1po no noob,2025-06-19T09:37:58.742376
coccibellee,zadiste,2025-06-19T09:37:59.541674
tatoolo,no noob no arnak,2025-06-19T09:38:03.650313
utsuru,bien vrai ca,2025-06-19T09:38:09.282528
excalipur,zadisme,2025-06-19T09:38:10.123097
persiagabe,largent,2025-06-19T09:38:10.317856
loeildesauron,no noob no arnak,2025-06-19T09:38:10.629506
supersteden,guerre mourir jamais,2025-06-19T09:38:12.469386
etivnne,bonjour nonobstant,2025-06-19T09:38:12.820822
skz911,saccage pari macron rn,2025-06-19T09:38:13.449295
alsh0ck,si avoir linterieur terre plat creux,2025-06-19T09:38:16.064209
bandhu_,punk avoir iench,2025-06-19T09:38:16.485772
piervers,guerre cest paix,2025-06-19T09:38:19.252751
nerub8,avoir info haut dire,2025-06-19T09:38:21.309090
artyom_premier,pense quon avoir voir mener capitalisme,2025-06-19T09:38:25.226987
anartichaud_,jai jamais joue avoir dofu mdr,2025-06-19T09:38:27.955316
markadia,non what rate rin,2025-06-19T09:38:46.372769
loeildesauron,pense falloir faire guilde sucree,2025-06-19T09:39:03.050513
bandhu_,gamerz moins normal madg,2025-06-19T09:39:06.539041
monsieur_r0se,guerre gom4rtderp sang dieux sang crane trone crane gom4rtderp,2025-06-19T09:39:07.386151
anartichaud_,apre copain avoir 4000h donc jpense ca compense,2025-06-19T09:39:10.518157
loeildesauron,trop rageux alors quon avoir bien rigolol,2025-06-19T09:39:16.737852
focusfuyant,crayon haut avoir droite,2025-06-19T09:39:19.158476
mastergoret,peux personnalis,2025-06-19T09:39:19.460258
sylfe_2979,haut avoir droite choix,2025-06-19T09:39:22.097556
alsh0ck,tas rate incroyable jeu mot flingue construit humour toufu,2025-06-19T09:39:22.554609
utsuru,beau scor,2025-06-19T09:39:24.189473
salmuth,avoir stylo haut cest faire nom avoir,2025-06-19T09:39:28.583827
ffta_empire_royaldu54,pouvoir faire propre nom myntho,2025-06-19T09:39:35.592207
anartichaud_,deja quon galer avoir sorganiser voir,2025-06-19T09:39:38.674043
tatoolo,ben prunty,2025-06-19T09:39:40.438724
markadia,tout ca eh beh,2025-06-19T09:39:42.528482
kaione708,rofer,2025-06-19T09:39:42.617888
nerub8,jackjack,2025-06-19T09:39:49.161099
etivnne,soumiland,2025-06-19T09:39:52.714154
sethsous,slim shady,2025-06-19T09:39:53.637869
alx_vadder,50 shade of jack,2025-06-19T09:39:57.781903
bandhu_,pierre cavebob,2025-06-19T09:40:00.342753
markadia,moment prefere cest quand jai reussi avoir avoir frenn,2025-06-19T09:40:01.208629
anartichaud_,mdr oui avoir refaire 3 perso encore,2025-06-19T09:40:02.451764
salmuth,parfaire,2025-06-19T09:40:05.528467
piervers,bouuuuuh complotist idiot bete,2025-06-19T09:40:07.075774
loeildesauron,cest plus facile retrouver donjon bouf quirl,2025-06-19T09:40:08.707389
sethsous,kayou,2025-06-19T09:40:09.745634
salmuth,caillou land,2025-06-19T09:40:09.824857
bandhu_,pierre pierr,2025-06-19T09:40:12.075535
ptipiak,hom manger stonestone,2025-06-19T09:40:12.696244
drpeuper,cailloullou,2025-06-19T09:40:14.949762
alsh0ck,jette pierre pierr,2025-06-19T09:40:15.738797
sakastien,sinj,2025-06-19T09:40:16.363351
flaxelle,parfaire caillou caillou,2025-06-19T09:40:18.736913
salmuth,lage pierr is back,2025-06-19T09:40:21.621294
tatoolo,romet leau,2025-06-19T09:40:24.131777
yabada__,pierre pierr,2025-06-19T09:40:29.088230
loeildesauron,the frenn ptsd is real,2025-06-19T09:40:33.158327
zemi_o7,tas bouze,2025-06-19T09:40:33.302724
utsuru,cest encore jeu gros cerveau ca,2025-06-19T09:40:34.131614
anartichaud_,ouai faux vrai,2025-06-19T09:40:35.170716
thiorah,stone mond stoooone,2025-06-19T09:40:36.880052
alx_vadder,pierre preser,2025-06-19T09:40:41.664595
markadia,rip vie social parasocialfrenn,2025-06-19T09:40:45.923869
baneemaendaree,tel aussi,2025-06-19T09:40:58.822250
loeildesauron,re peepovanish,2025-06-19T09:41:02.496181
anartichaud_,spoiler avoir trop,2025-06-19T09:41:04.216133
anartichaud_,ciao lods,2025-06-19T09:41:13.359158
tatoolo,fouille boi mer,2025-06-19T09:41:22.731160
markadia,mdrrr bah oui metonne munueicant,2025-06-19T09:41:47.965557
rastellefr,mynmenfou mynpalu ration,2025-06-19T09:41:56.346021
markadia,q lbu,2025-06-19T09:42:05.564098
ffta_empire_royaldu54,zm cest rond rouge avoir voir avant,2025-06-19T09:42:07.208350
anartichaud_,explorer zone grand colon fallguy,2025-06-19T09:42:12.343289
utsuru,sai jai limpression falloir reflechir tout,2025-06-19T09:42:24.942712
zemi_o7,coup fin canon plague inc cest virus,2025-06-19T09:42:27.374235
tatoolo,loca loca vider loca,2025-06-19T09:42:28.585022
mrpoc,huh,2025-06-19T09:42:31.647723
markadia,notredamedeslande avoir oeil,2025-06-19T09:42:31.975481
violax_,stonestone avoir besoin boisbois,2025-06-19T09:42:50.748015
roiarthuroupresque,lul lul,2025-06-19T09:42:51.973772
skeepycrazy,deja logement social,2025-06-19T09:43:08.777038
