username,content,timestamp
marilyonne,@Hortax_FR Ouiiiiiiiiiiiiii,2025-06-17T11:44:53.061275
colbain98,@gzd6666 +1,2025-06-17T11:44:55.761498
leebpascal,"Lille Lens, Marseille Nice, Bordeaux Toulouse, Bastia Ajaccio, que du bonheur",2025-06-17T11:44:57.001659
flo__ki,Au fait @samueletienne pourquoi on a plus le numero de la chaine sur la tv mais le logo france tv à la place ? ducoup on ne sait plus où on est c'est chelou,2025-06-17T11:44:59.168458
bertocheeee,@clamakinisback il me faisait marrer en commentary sur la chaîne l'équipe le mec est zinzin j'aime bien,2025-06-17T11:45:01.757233
aoreliofr,Ohlalala j'ai peur,2025-06-17T11:45:06.672909
raphou_35,Faut pas qu'Asterion tombe sur l'émission punaise,2025-06-17T11:45:08.201382
john33fr,"@Drakeoz_ ca vient surtout de la course landaise, qui existe toujours dans les arènes du sud ouest tous les étés",2025-06-17T11:45:09.400885
nightbot,Retrouvez tous mes replay sur YouTube : youtube.com/@SamuelEtienneVOD,2025-06-17T11:45:12.272123
jeanperse,"Avec Bruno Guillon, pourquoi pas !",2025-06-17T11:45:12.572909
monsieurdemesmaeker,C'est populaire et bon enfant,2025-06-17T11:45:12.974813
gzd6666,Bientot le retour de tournez manege !,2025-06-17T11:45:13.189914
stuffdemax,mdrrrrr,2025-06-17T11:45:13.390776
neistart,"la grave pandémie toujours en cours, j'espere que vous vous vaccinez bien tous les 6 mois",2025-06-17T11:45:15.815094
operasansfantome,le meilleur job LUL,2025-06-17T11:45:15.906135
democlas,xd,2025-06-17T11:45:16.254781
saberan31,@raphou_35 Ahah,2025-06-17T11:45:17.045655
p0mme_,..,2025-06-17T11:45:17.814168
pain_aux_olives,oula,2025-06-17T11:45:18.103060
tibagtv,c'est toi dans la vachette en fait ? Kappa,2025-06-17T11:45:18.716136
usukapion,@raphou_35 mdrrrrr,2025-06-17T11:45:19.021091
clamakinisback,@flo__ki nouvelle possibilité pour Lens de gagner un derby 😭,2025-06-17T11:45:19.419911
alan_albr,LUL,2025-06-17T11:45:22.803924
erredius,oh un Riou !,2025-06-17T11:45:23.177142
stuffdemax,par pitié sam deviens une vachette mdr,2025-06-17T11:45:25.361096
kine22,topa la vachette,2025-06-17T11:45:26.169621
cyrille8574,@le_chouffleur non pas énormément d'épreuves avec les vachette en effet mais bon c'était l'âme quand même,2025-06-17T11:45:27.293618
sevino38,topa la vachette,2025-06-17T11:45:28.891301
david_ayoun,Ça sera en direct ou enregistré ?,2025-06-17T11:45:29.381235
theoriginalpimousse_,Topa la vachette. Pas mal,2025-06-17T11:45:30.228407
usukapion,il y a Lille ?,2025-06-17T11:45:33.619737
pain_aux_olives,costume wish tier,2025-06-17T11:45:34.568838
d0wnblue,Interville sans vrai vachette c'est triste un peu,2025-06-17T11:45:38.145633
imayoyo,Top à la mascotte,2025-06-17T11:45:38.893265
le_chouffleur,Oh les grosses mamelles ! Cachez ces tétons que je ne saurais voir ! Kappa,2025-06-17T11:45:39.249874
thicapy,Je suis encore traumatisé par la dernière épreuve ou les participants doivent escalade avec une barre trop dur,2025-06-17T11:45:41.337625
drakeoz_,@john33fr Je suis dans le sud et y a beaucoup du taureau piscine aussi qui ont lieu partout où il y a des fetes taurines,2025-06-17T11:45:42.046347
tinkou__,On attend le Trappes - Neuilly,2025-06-17T11:45:45.151565
cyrille8574,moi je boycotte Intervilles sans vachettes !,2025-06-17T11:45:45.923150
jeanperse,En été oui.,2025-06-17T11:45:47.669141
clamakinisback,@bertocheeee Oui je trouve ça too much mais c’est un avis donc vraiment pas important,2025-06-17T11:45:50.336214
marilyonne,On parle de Disney ? C'est quoi la différence sur les costumes en pleine chaleur ?,2025-06-17T11:45:51.148727
theoriginalpimousse_,@le_chouffleur NotLikeThis,2025-06-17T11:45:51.557167
fmbj_,"nous on veut des mascotte de chaque ville, comme a la NBA pour chaque equipe Kappa",2025-06-17T11:45:55.558661
isayux,trop hate du tour de france !!!,2025-06-17T11:45:56.170469
saberan31,Pas envie de regarder si y'a Nagui vu ses comportements problématiques passés,2025-06-17T11:45:56.435138
theoriginalpimousse_,strawb506Bongo strawb506Bongo strawb506Bongo,2025-06-17T11:45:56.896165
allihh66,Sam on peut écouter le générique stp 😁,2025-06-17T11:45:59.900673
sdfljsgrljfslk,on peut demander à retailleau de tricher à nouveau pour respecter la tradiction ?,2025-06-17T11:46:05.972369
bertocheeee,@clamakinisback je peux comprendre,2025-06-17T11:46:08.213826
kine22,c'est dommage si c'est toujours les même ville du sud de la france,2025-06-17T11:46:11.183227
vikks26,C’est dans cette émission que le ministre de l’intérieur avait triché!!!!,2025-06-17T11:46:15.421803
monsieurdemesmaeker,@saberan31 du genre ?,2025-06-17T11:46:17.324298
david_ayoun,J'adore Intervilles mais sans vachette ça m'intéresse moins !,2025-06-17T11:46:19.067063
tinkou__,"@Drakeoz_ taureau piscine, c'est la version bovine de l'aqua-poney?",2025-06-17T11:46:22.290214
peperedudu,"J'ai cru voir que tu avais fait le choix de casser ton CDI a France-TV, est-ce que ça peut te poser des soucis pour le renouvellement de l'animation de QPUC ?",2025-06-17T11:46:22.564994
tibagtv,LUL le SAV,2025-06-17T11:46:30.335364
zem78,"Coucou Sam, je voulais juste te dire que je suis au boulot. Je t'écoute dans mes écouteurs et c'est top, ça me renseigne sur l'actualité. Merci !",2025-06-17T11:46:30.481532
john33fr,"@Drakeoz_ ça a lieu en meme temps que les courses landaises oui, toro piscine et autres ""intervaches"" (carrément oui pour pas se prendre de procès ^^)",2025-06-17T11:46:32.444397
moulbitt,"C'est plus compliqué pour ""la bascule"" Kappa",2025-06-17T11:46:34.598108
pl00m,ce n'est pas toi le patron ?,2025-06-17T11:46:34.911269
jeanperse,"Heureusement qu'il y a Bruno Guillon, il va rééquilibrer l'émission.!.",2025-06-17T11:46:36.569952
cyrille8574,@flo__ki je suis tout à fait d'accord ! je trouve ça débile de ne plus mettre le numéro de la chaîne,2025-06-17T11:46:39.071395
le_chouffleur,"@Cyrille8574 ben c'est la mascotte c'est sûr, mais bon, j'attends de voir pour me faire une idée ^^",2025-06-17T11:46:41.849479
fricasseedefevesaubellota,@sdfljsgrljfslk maintenant il demande a changer la constitution. Histoire d'etre au dessus des lois,2025-06-17T11:46:42.669122
