username,content,timestamp
marilyonne,oui ##iiiiiiii ##iiiii,2025-06-17T11:44:53.061275
colbain98,,2025-06-17T11:44:55.761498
leebpascal,lil ##le len ##s marseill ##e ni ##ce borde ##aux tou ##lou ##se bas ##tia aj ##accio que du bonheur,2025-06-17T11:44:57.001659
flo__ki,au fait pourquoi on a plus le num ##ero de la chaine sur la tv mais le log ##o france tv a la place duc ##oup on ne sait plus ou on est ces ##t chel ##ou,2025-06-17T11:44:59.168458
bertocheeee,il me faisait mar ##rer en comment ##ary sur la chaine le ##qui ##pe le me ##c est z ##in ##zin ja ##ime bien,2025-06-17T11:45:01.757233
aoreliofr,oh ##la ##la ##la ja ##i peur,2025-06-17T11:45:06.672909
raphou_35,faut pas qua ##ster ##ion tombe sur lem ##ission pun ##aise,2025-06-17T11:45:08.201382
john33fr,ca vient surtout de la course land ##aise qui existe toujours dans les are ##nes du sud ouest tous les ete ##s,2025-06-17T11:45:09.400885
nightbot,retrouve ##z tous mes repl ##ay sur you ##tu ##be you ##tu ##bec ##om,2025-06-17T11:45:12.272123
jeanperse,avec brun ##o guillo ##n pourquoi pas,2025-06-17T11:45:12.572909
monsieurdemesmaeker,ces ##t populaire et bon enfant,2025-06-17T11:45:12.974813
gzd6666,bien ##to ##t le retour de tourne ##z man ##eg ##e,2025-06-17T11:45:13.189914
stuffdemax,md ##rr ##rr ##r,2025-06-17T11:45:13.390776
neistart,la grave pand ##em ##ie toujours en cours jes ##per ##e que vous vous vaccin ##ez bien tous les mois,2025-06-17T11:45:15.815094
operasansfantome,le meilleur jo ##b lu ##l,2025-06-17T11:45:15.906135
democlas,x ##d,2025-06-17T11:45:16.254781
saberan31,ah ##ah,2025-06-17T11:45:17.045655
p0mme_,,2025-06-17T11:45:17.814168
pain_aux_olives,ou ##la,2025-06-17T11:45:18.103060
tibagtv,ces ##t toi dans la vache ##tte en fait k ##app ##a,2025-06-17T11:45:18.716136
usukapion,md ##rr ##rr ##r,2025-06-17T11:45:19.021091
clamakinisback,nouvelle possib ##ilit ##e pour len ##s de gagner un der ##by,2025-06-17T11:45:19.419911
alan_albr,lu ##l,2025-06-17T11:45:22.803924
erredius,oh un rio ##u,2025-06-17T11:45:23.177142
stuffdemax,par pit ##ie sam dev ##iens une vache ##tte md ##r,2025-06-17T11:45:25.361096
kine22,top ##a la vache ##tte,2025-06-17T11:45:26.169621
cyrille8574,non pas eno ##rm ##ement dep ##re ##uves avec les vache ##tte en effet mais bon cet ##ait lame quand meme,2025-06-17T11:45:27.293618
sevino38,top ##a la vache ##tte,2025-06-17T11:45:28.891301
david_ayoun,ca sera en direct ou enregistre,2025-06-17T11:45:29.381235
theoriginalpimousse_,top ##a la vache ##tte pas mal,2025-06-17T11:45:30.228407
usukapion,il y a lil ##le,2025-06-17T11:45:33.619737
pain_aux_olives,costume wi ##s ##h tier,2025-06-17T11:45:34.568838
d0wnblue,interv ##ille sans vrai vache ##tte ces ##t triste un peu,2025-06-17T11:45:38.145633
imayoyo,top a la mas ##cot ##te,2025-06-17T11:45:38.893265
le_chouffleur,oh les grosses mam ##elles cache ##z ces tet ##ons que je ne saurais voir k ##app ##a,2025-06-17T11:45:39.249874
thicapy,je suis encore tra ##uma ##tis ##e par la dernier ##e ep ##re ##uve ou les particip ##ants doivent escal ##ade avec une barre trop dur,2025-06-17T11:45:41.337625
drakeoz_,je suis dans le sud et y a beaucoup du taureau pis ##cine aussi qui ont lieu partout ou il y a des fet ##es tau ##rines,2025-06-17T11:45:42.046347
tinkou__,on attend le tra ##ppes neu ##illy,2025-06-17T11:45:45.151565
cyrille8574,moi je boy ##cot ##te interv ##illes sans vache ##ttes,2025-06-17T11:45:45.923150
jeanperse,en ete oui,2025-06-17T11:45:47.669141
clamakinisback,oui je trouve ca to ##o mu ##ch mais ces ##t un avis donc vraiment pas important,2025-06-17T11:45:50.336214
marilyonne,on parle de dis ##ney ces ##t quoi la diff ##ere ##nce sur les costumes en pleine chaleur,2025-06-17T11:45:51.148727
theoriginalpimousse_,not ##li ##ket ##his,2025-06-17T11:45:51.557167
fmbj_,nous on veut des mas ##cot ##te de chaque ville comme a la nb ##a pour chaque eq ##ui ##pe k ##app ##a,2025-06-17T11:45:55.558661
isayux,trop ha ##te du tour de france,2025-06-17T11:45:56.170469
saberan31,pas envie de regarder si ya na ##gui vu ses comporte ##ments prob ##lem ##atiques passes,2025-06-17T11:45:56.435138
